,task,text,label,model,accuracy,f1_macro,f1_weighted,depression_precision,depression_recall,depression_f1,false_negatives,true_positives,total_depression
0,six_label_all_text_mlp,all,six,mlp,0.4932283464566929,0.49479449417496046,0.48152626459921033,0.8103616813294232,0.48451198129748685,0.6064374542794441,882,829,1711
1,six_label_all_text_finetuning,all,six,finetuning,0.6907086614173228,0.7020941530567537,0.6896336336568795,0.8356083086053413,0.8229105786090006,0.8292108362779741,303,1408,1711
2,four_label_all_text_mlp,all,four,mlp,0.6355905511811024,0.4643392652390385,0.6045003979646316,0.5522648083623694,0.3291796469366563,0.41249186727391024,646,317,963
3,four_label_all_text_finetuning,all,four,finetuning,0.7288188976377953,0.6639716473746278,0.7299956879144278,0.5840197693574959,0.7362409138110073,0.6513550757923748,254,709,963
4,six_label_first_text_mlp,first,six,mlp,0.4796850393700787,0.48320961505836446,0.4742379400592962,0.7216183574879227,0.6984219754529515,0.7098307098307098,516,1195,1711
5,six_label_first_text_finetuning,first,six,finetuning,0.5905511811023622,0.6038067628085315,0.5900816995867453,0.7647382920110193,0.8112215078901227,0.7872943845717527,323,1388,1711
6,four_label_first_text_mlp,first,four,mlp,0.6277165354330708,0.44343279394362123,0.5900270769781655,0.5394990366088632,0.29075804776739356,0.37786774628879893,683,280,963
7,four_label_first_text_finetuning,first,four,finetuning,0.685984251968504,0.587332951804337,0.6820668180932611,0.5411334552102377,0.6147455867082036,0.5755955274671852,371,592,963
