task,text,label,model,accuracy,f1_macro,f1_weighted,depression_precision,depression_recall,depression_f1,false_negatives,true_positives,total_depression,phq9
six_label_all_text_finetuning,all,six,finetuning,0.6907086614173228,0.7020941530567537,0.6896336336568795,0.8356083086053413,0.8229105786090006,0.8292108362779741,303,1408,1711,no
four_label_all_text_finetuning,all,four,finetuning,0.7288188976377953,0.6639716473746278,0.7299956879144278,0.5840197693574959,0.7362409138110073,0.6513550757923748,254,709,963,no
four_label_all_text_phq9,all,four,finetuning,0.7275590551181103,0.6582672327099572,0.7277941938978384,0.5931758530183727,0.7040498442367601,0.6438746438746439,285,678,963,yes
six_label_all_text_phq9,all,six,finetuning,0.6922834645669291,0.705692417726166,0.6927634271763351,0.8316831683168316,0.8345996493278784,0.8331388564760793,283,1428,1711,yes
