task,text,label,model,accuracy,f1_macro,f1_weighted,confusion_matrix,depression_precision,depression_recall,depression_f1,false_negatives,true_positives,total_depression
six_label_all_text_phq9_multimodal,all,six,multimodal,0.646582,0.473414,0.644243,"[[158,2,4,1,0,3],[14,6,2,2,0,3],...]",0.974217,0.826562,0.894336,111,529,640
six_label_all_text_phq9,all,six,finetuning,0.711472,0.513601,0.711471,"[[145,6,1,3,0,13],[12,8,1,0,0,6],...]",0.945902,0.901563,0.9232,63,577,640
